Metric,Value
timing__setup_vio__count__corner:max_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:max_ff_n40C_1v95,15.549170
timing__setup_r2r_vio__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count__corner:max_ff_n40C_1v95,21
timing__unannotated_net_filtered__count__corner:max_ff_n40C_1v95,0
timing__unannotated_net__count,21
timing__unannotated_net_filtered__count,0
design_powergrid__voltage__worst__net:VPWR__corner:nom_tt_025C_1v80,1.79469
design_powergrid__drop__average__net:VPWR__corner:nom_tt_025C_1v80,1.79937
design_powergrid__drop__worst__net:VPWR__corner:nom_tt_025C_1v80,0.00530685
design_powergrid__voltage__worst__net:VGND__corner:nom_tt_025C_1v80,0.00480993
design_powergrid__drop__average__net:VGND__corner:nom_tt_025C_1v80,0.000604011
design_powergrid__drop__worst__net:VGND__corner:nom_tt_025C_1v80,0.00480993
design_powergrid__voltage__worst,0.00480993
design_powergrid__voltage__worst__net:VPWR,1.79469
design_powergrid__drop__worst,0.00530685
design_powergrid__drop__worst__net:VPWR,0.00530685
design_powergrid__voltage__worst__net:VGND,0.00480993
design_powergrid__drop__worst__net:VGND,0.00480993
ir__voltage__worst,1.79000000000000003552713678800500929355621337890625
ir__drop__avg,0.00063199999999999996631860899043431345489807426929473876953125
ir__drop__worst,0.005309999999999999616140389235852126148529350757598876953125
design__xor_difference__count,0
magic__drc_error__count,0
klayout__drc_error__count,0
magic__illegal_overlap__count,0
design__lvs_device_difference__count,0
design__lvs_net_difference__count,0
design__lvs_property_fail__count,0
design__lvs_error__count,0
design__lvs_unmatched_device__count,0
design__lvs_unmatched_net__count,0
design__lvs_unmatched_pin__count,0
