net,length_um
_06383_,50.36µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[23\],50.34µm
net206,50.32µm
_04682_,50.2µm
_04275_,50.1µm
_04885_,50.08µm
net554,50.06µm
_01535_,49.98µm
_01718_,49.95µm
_03945_,49.92µm
u_interface.core_data_out\[24\],49.88µm
net31,49.88µm
net273,49.875µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[14\],49.86µm
_00869_,49.825µm
_01641_,49.82µm
net375,49.78µm
net363,49.74µm
net1753,49.72µm
_02924_,49.65µm
net421,49.58µm
_04536_,49.57µm
_02679_,49.52µm
net211,49.515µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[4\],49.48µm
_06081_,49.44µm
_04507_,49.43µm
net331,49.42µm
_00868_,49.295µm
_02813_,49.22µm
net73,49.17µm
_06390_,49.1µm
_01699_,48.96µm
_02551_,48.88µm
_01665_,48.86µm
_01683_,48.78µm
u_interface.fifo_count\[1\],48.74µm
u_interface.u_gelu_fp32.u_fp32_to_q16.round_bit,48.685µm
net367,48.59µm
_04415_,48.58µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[20\],48.56µm
net566,48.56µm
_02762_,48.5µm
net274,48.42µm
net307,48.4µm
net62,48.36µm
net381,48.28µm
_01688_,48.195µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[27\],48.19µm
_01676_,48.04µm
_04085_,47.92µm
_04170_,47.87µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[0\],47.86µm
net212,47.855µm
net596,47.81µm
_05005_,47.74µm
net550,47.66µm
_05489_,47.54µm
u_interface.core_data_out\[22\],47.5µm
_04175_,47.4µm
net371,47.4µm
net555,47.4µm
net165,47.32µm
net325,47.32µm
net525,47.22µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[7\],47.02µm
_01658_,46.84µm
net564,46.84µm
net405,46.82µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[17\],46.66µm
_04296_,46.6µm
_05414_,46.42µm
_04648_,46.4µm
net359,46.4µm
net669,46.36µm
_00031_,46.245µm
net570,46.22µm
_04771_,46.1µm
_06329_,46.1µm
_06361_,46.1µm
_04277_,46.08µm
net551,45.92µm
_01568_,45.9µm
net547,45.9µm
net706,45.9µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_exp\[2\],45.82µm
_03315_,45.71µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[15\],45.58µm
_04061_,45.56µm
net287,45.54µm
net369,45.54µm
_04535_,45.52µm
_06386_,45.52µm
_05321_,45.51µm
_01166_,45.44µm
_04772_,45.37µm
_01661_,45.36µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[26\],45.31µm
_05571_,45.24µm
_01625_,45.22µm
_04491_,45.16µm
net357,45.14µm
_01642_,45.12µm
_04392_,45.115µm
_04525_,45.105µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[63\],45.1µm
_01755_,44.9µm
_01657_,44.88µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[29\],44.84µm
net553,44.825µm
_01638_,44.8µm
_06341_,44.695µm
_01627_,44.68µm
net789,44.62µm
_01187_,44.54µm
_03062_,44.52µm
net394,44.52µm
_04681_,44.44µm
net522,44.38µm
_01599_,44.365µm
net643,44.34µm
_03460_,44.315µm
_05745_,44.26µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[24\],44.1µm
u_interface.core_data_out\[4\],43.98µm
_05379_,43.94µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[16\],43.9µm
_04647_,43.88µm
_03422_,43.84µm
net622,43.84µm
_06384_,43.83µm
_03465_,43.8µm
_06005_,43.64µm
_06367_,43.56µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[1\],43.54µm
_02555_,43.46µm
_01564_,43.43µm
_03122_,43.33µm
_04919_,43.32µm
_01689_,43.22µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[27\],43.205µm
_03368_,43.2µm
net824,43.2µm
_01685_,43.19µm
_01723_,43.08µm
_04468_,43.075µm
_01660_,42.98µm
_01701_,42.96µm
_04701_,42.9µm
_02881_,42.78µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[26\],42.78µm
_06368_,42.66µm
_00523_,42.605µm
net292,42.52µm
_03362_,42.46µm
net361,42.44µm
_01619_,42.41µm
_02713_,42.4µm
_05614_,42.38µm
_01637_,42.36µm
_01777_,42.33µm
_02751_,42.11µm
u_interface.u_gelu_fp32.s1_data\[27\],42.06µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[16\],42.045µm
net414,42.02µm
_00949_,42.005µm
_02799_,41.95µm
_01735_,41.905µm
net634,41.82µm
u_interface.fifo_wr_ptr\[3\],41.76µm
_03186_,41.74µm
_03976_,41.72µm
u_interface.fifo_count\[3\],41.64µm
_04297_,41.62µm
_05697_,41.62µm
_00736_,41.585µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[22\],41.54µm
clknet_leaf_1_clk,41.38µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[12\],41.315µm
_04172_,41.26µm
_03244_,41.22µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[15\],41.2µm
net309,41.14µm
_03461_,41.12µm
_00866_,40.98µm
_05333_,40.95µm
_01022_,40.945µm
_01385_,40.92µm
_01644_,40.92µm
_01647_,40.9µm
u_interface.fifo_count\[5\],40.88µm
net488,40.805µm
_04410_,40.78µm
_03520_,40.62µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_overflow,40.62µm
_06379_,40.48µm
clknet_leaf_61_clk,40.44µm
net1571,40.4µm
_03530_,40.305µm
net954,40.255µm
_01656_,40.245µm
u_interface.in_flight_count\[2\],40.22µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[9\],40.22µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[4\],40.2µm
clknet_leaf_88_clk,40.16µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[23\],40.12µm
_01623_,40.1µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[5\],40.06µm
_04739_,40µm
net558,39.92µm
net351,39.88µm
net330,39.87µm
_03300_,39.78µm
net183,39.78µm
_01532_,39.68µm
_01556_,39.68µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_exp\[3\],39.68µm
u_interface.core_data_out\[29\],39.66µm
net112,39.64µm
_01617_,39.61µm
_00960_,39.545µm
u_interface.core_data_out\[15\],39.48µm
_05661_,39.34µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[19\],39.305µm
_01857_,39.3µm
_02076_,39.3µm
_02986_,39.28µm
net475,39.2µm
_02052_,39.04µm
_01613_,39.03µm
net552,39.02µm
_05582_,38.9µm
u_interface.core_data_out\[3\],38.88µm
net379,38.8µm
_03162_,38.66µm
_01601_,38.6µm
_01645_,38.6µm
u_interface.in_flight_count\[3\],38.58µm
net190,38.54µm
_05459_,38.46µm
_04624_,38.4µm
net574,38.38µm
_06364_,38.345µm
net336,38.28µm
_02989_,38.24µm
_01733_,37.98µm
_05579_,37.84µm
u_interface.core_data_out\[26\],37.82µm
_06011_,37.805µm
_01197_,37.78µm
net204,37.77µm
_02266_,37.68µm
_04770_,37.66µm
u_interface.core_data_out\[9\],37.58µm
u_interface.fifo_count\[0\],37.58µm
_01674_,37.44µm
_05903_,37.4µm
_00502_,37.365µm
_01907_,37.3µm
_02676_,37.27µm
_06353_,37.18µm
_03429_,37.14µm
_01609_,37.1µm
_04414_,37.08µm
_04288_,37.04µm
_04409_,37.04µm
u_interface.core_data_out\[11\],37.02µm
clknet_leaf_20_clk,37.02µm
clknet_leaf_79_clk,36.98µm
_01148_,36.95µm
_01588_,36.94µm
_01606_,36.9µm
_03623_,36.76µm
_06429_,36.74µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[14\],36.74µm
_03942_,36.72µm
u_interface.core_data_out\[19\],36.7µm
net428,36.68µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_shift\[0\],36.66µm
_06278_,36.62µm
_01691_,36.555µm
_05378_,36.54µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[11\],36.525µm
_04790_,36.5µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[24\],36.32µm
_01598_,36.2µm
_06279_,36.2µm
u_interface.core_data_out\[27\],36.08µm
_01764_,36.06µm
_05196_,36.06µm
_02828_,36.05µm
_05032_,36.04µm
_05553_,36.02µm
_05547_,35.98µm
_05494_,35.975µm
net556,35.94µm
_03637_,35.92µm
_02653_,35.9µm
_04407_,35.9µm
u_interface.u_gelu_fp32.s1_data\[26\],35.86µm
_06426_,35.76µm
_01188_,35.66µm
_04778_,35.6µm
net818,35.6µm
clknet_leaf_25_clk,35.56µm
_01901_,35.52µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[3\],35.5µm
_01171_,35.38µm
_01504_,35.36µm
_06293_,35.3µm
_06371_,35.3µm
_06343_,35.285µm
_01760_,35.28µm
_03358_,35.24µm
_03380_,35.18µm
_03568_,35.18µm
_05622_,35.18µm
_05065_,35.12µm
_00490_,35.105µm
_03359_,35.1µm
net139,35.02µm
_04890_,34.98µm
_05256_,34.94µm
_06350_,34.94µm
_05615_,34.9µm
_02601_,34.88µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[29\],34.88µm
_03868_,34.84µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[4\],34.8µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[24\],34.74µm
net32,34.72µm
_05899_,34.7µm
net545,34.68µm
net169,34.56µm
_04748_,34.52µm
_01545_,34.48µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[24\],34.48µm
_05770_,34.46µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[29\],34.46µm
_01739_,34.405µm
_06378_,34.345µm
_01741_,34.29µm
_06357_,34.25µm
_04929_,34.24µm
_04961_,34.24µm
_03621_,34.16µm
_03634_,34.14µm
_03519_,34.12µm
_02780_,34.1µm
_01106_,34µm
_05766_,33.98µm
_06370_,33.96µm
_01727_,33.92µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[0\],33.92µm
_02636_,33.88µm
_06135_,33.84µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[23\],33.825µm
_01788_,33.8µm
_01821_,33.7µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[3\],33.66µm
_01585_,33.6µm
u_interface.pipeline_enable,33.58µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_sign,33.54µm
_04152_,33.44µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_shift\[2\],33.4µm
_01692_,33.395µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[8\],33.38µm
net10,33.38µm
_00864_,33.365µm
_00944_,33.345µm
_02057_,33.33µm
_05618_,33.3µm
u_interface.fifo_data\[4\]\[28\],33.3µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[7\],33.28µm
_01664_,33.26µm
_01176_,33.225µm
_04626_,33.22µm
_05744_,33.17µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[22\],33.14µm
_05735_,33.02µm
net47,33.02µm
_01742_,32.96µm
u_interface.meta_tuser_pipe\[11\],32.96µm
net806,32.88µm
u_interface.fifo_data\[12\]\[20\],32.84µm
_01227_,32.82µm
_04951_,32.82µm
_04643_,32.8µm
_01653_,32.78µm
_05544_,32.78µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[3\],32.78µm
_04875_,32.74µm
net439,32.74µm
_04205_,32.7µm
_06438_,32.66µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[13\],32.64µm
_02856_,32.62µm
_05729_,32.6µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[22\],32.54µm
_01035_,32.44µm
_01731_,32.44µm
_01859_,32.38µm
_04527_,32.38µm
u_interface.u_gelu_fp32.s1_data\[24\],32.36µm
_02829_,32.26µm
_06268_,32.24µm
u_interface.in_flight_count\[1\],32.24µm
_04884_,32.14µm
net107,32.14µm
net562,32.12µm
_03030_,32.08µm
_02710_,32µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[61\],32µm
_01273_,31.98µm
net527,31.98µm
_01241_,31.96µm
_06184_,31.915µm
u_interface.fifo_data\[5\]\[28\],31.88µm
_01546_,31.86µm
u_interface.core_data_out\[14\],31.86µm
_03782_,31.84µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[16\],31.82µm
_01816_,31.78µm
_04293_,31.72µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[9\],31.72µm
_04292_,31.7µm
_03243_,31.66µm
_01203_,31.58µm
_02325_,31.56µm
_05281_,31.56µm
u_interface.fifo_data\[12\]\[25\],31.54µm
u_interface.core_data_out\[7\],31.53µm
_03091_,31.52µm
_03254_,31.51µm
u_interface.fifo_data\[0\]\[24\],31.5µm
_01711_,31.485µm
net339,31.43µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[28\],31.38µm
_05284_,31.36µm
_01867_,31.34µm
_02990_,31.3µm
_03280_,31.29µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[26\],31.26µm
_01236_,31.24µm
_01655_,31.24µm
_00503_,31.225µm
_06344_,31.22µm
_04769_,31.16µm
_01261_,31.14µm
_01603_,31.12µm
_01942_,31.12µm
_05943_,31.08µm
_06275_,31.02µm
_05724_,31µm
_01737_,30.92µm
_05488_,30.88µm
_01528_,30.86µm
net329,30.82µm
_02534_,30.8µm
_02250_,30.78µm
_02812_,30.77µm
_06342_,30.74µm
_02564_,30.68µm
_01144_,30.66µm
_06078_,30.66µm
_01745_,30.625µm
_03759_,30.62µm
_05840_,30.6µm
net718,30.6µm
_03925_,30.58µm
net178,30.57µm
net100,30.56µm
_00504_,30.555µm
_01032_,30.545µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_exp\[5\],30.5µm
_06387_,30.435µm
_05546_,30.42µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[8\],30.42µm
_03068_,30.4µm
_04750_,30.4µm
_05123_,30.4µm
_06274_,30.38µm
_02647_,30.35µm
net141,30.34µm
_02486_,30.32µm
_03683_,30.3µm
_04642_,30.3µm
_05050_,30.3µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[30\],30.28µm
_05458_,30.24µm
_05478_,30.2µm
m_axis_tdata[8],30.17µm
net1550,30.16µm
_04149_,30.15µm
_01353_,30.12µm
_02761_,30.12µm
_05549_,30.1µm
_05157_,30.08µm
_03187_,30.06µm
_03679_,30.06µm
_04124_,30.06µm
_04519_,30.06µm
_01730_,30.02µm
_01557_,30µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[15\],29.84µm
_02323_,29.83µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[18\],29.82µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[60\],29.82µm
_02993_,29.8µm
_02998_,29.8µm
_04927_,29.8µm
u_interface.fifo_data\[9\]\[24\],29.8µm
_02039_,29.78µm
_04618_,29.74µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[10\],29.74µm
u_interface.u_gelu_fp32.s1_data\[19\],29.72µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[4\],29.72µm
_01779_,29.67µm
_03363_,29.66µm
_04103_,29.6µm
_05625_,29.6µm
_01223_,29.56µm
_04776_,29.485µm
_01746_,29.44µm
_01600_,29.42µm
_01862_,29.42µm
_05538_,29.38µm
_01220_,29.34µm
_04777_,29.32µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[14\],29.3µm
_05512_,29.28µm
_01132_,29.26µm
u_interface.fifo_data\[13\]\[7\],29.26µm
_05765_,29.18µm
_03036_,29.12µm
_04646_,29.12µm
_05329_,29.11µm
_03110_,29.1µm
u_interface.u_gelu_fp32.s1_data\[25\],29.08µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[20\],29.06µm
_03784_,29µm
net720,28.99µm
_03314_,28.94µm
u_interface.u_gelu_fp32.u_synth_top.s1_hits\[14\],28.92µm
_02578_,28.9µm
_05004_,28.9µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[18\],28.88µm
_03219_,28.84µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[24\],28.82µm
_04059_,28.78µm
_04516_,28.78µm
_03159_,28.74µm
_06354_,28.72µm
_05059_,28.7µm
_03540_,28.66µm
_01389_,28.64µm
_03298_,28.64µm
_03483_,28.6µm
_05501_,28.6µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[10\],28.6µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[2\],28.58µm
net143,28.58µm
_06000_,28.56µm
_04238_,28.52µm
_01173_,28.5µm
_05046_,28.47µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s2_norm_mag\[27\],28.46µm
_03408_,28.42µm
_03216_,28.34µm
u_interface.fifo_count\[2\],28.34µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[23\],28.34µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_norm_mag\[8\],28.34µm
_01137_,28.32µm
net48,28.28µm
_04534_,28.26µm
_01402_,28.22µm
_01552_,28.2µm
_03799_,28.16µm
_05839_,28.08µm
_02692_,28.06µm
u_interface.core_data_out\[16\],28.06µm
_04883_,28.04µm
_05743_,28.04µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[24\],28.04µm
_01488_,28.03µm
_00486_,27.965µm
_05592_,27.92µm
u_interface.u_gelu_fp32.u_synth_top.s2_m\[6\],27.92µm
_01610_,27.9µm
_03628_,27.9µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[27\],27.84µm
_05741_,27.83µm
_02768_,27.82µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[7\],27.82µm
_02870_,27.8µm
_01677_,27.77µm
_06043_,27.74µm
_01818_,27.7µm
_02083_,27.68µm
_01201_,27.64µm
_02556_,27.64µm
_01342_,27.58µm
_04835_,27.52µm
_06130_,27.52µm
u_interface.in_flight_count\[4\],27.52µm
_03841_,27.5µm
_03355_,27.48µm
_04892_,27.48µm
_01248_,27.46µm
_02174_,27.46µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_sign,27.46µm
u_interface.u_gelu_fp32.u_synth_top.s3_mult\[19\],27.44µm
_01679_,27.42µm
u_interface.fifo_data\[4\]\[3\],27.42µm
_01811_,27.28µm
u_interface.u_gelu_fp32.s1_data\[22\],27.26µm
_03995_,27.22µm
_03113_,27.205µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[20\],27.2µm
u_interface.fifo_data\[0\]\[28\],27.16µm
_04699_,27.14µm
_06391_,27.14µm
_03617_,27.1µm
s_axil_awaddr[1],27.1µm
_01943_,27.09µm
_05315_,27.08µm
_06034_,26.98µm
_05955_,26.96µm
_01351_,26.9µm
_03088_,26.9µm
net52,26.9µm
_03482_,26.86µm
_06490_,26.86µm
_01792_,26.84µm
u_interface.core_data_out\[17\],26.84µm
_03821_,26.82µm
_03459_,26.78µm
_06039_,26.76µm
_02760_,26.74µm
_05384_,26.74µm
_02985_,26.72µm
_03066_,26.72µm
_03551_,26.7µm
_01631_,26.68µm
_06385_,26.64µm
_01958_,26.62µm
u_interface.u_gelu_fp32.s2_data\[30\],26.62µm
net1719,26.62µm
_02240_,26.56µm
u_interface.core_data_out\[2\],26.56µm
_03381_,26.54µm
net128,26.52µm
u_interface.fifo_wr_ptr\[0\],26.515µm
_04775_,26.42µm
_05429_,26.4µm
_06178_,26.38µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[12\],26.38µm
_01957_,26.32µm
_01704_,26.28µm
_04942_,26.28µm
_06030_,26.28µm
s_axil_araddr[1],26.26µm
_01381_,26.24µm
_00501_,26.225µm
_03414_,26.22µm
net29,26.2µm
u_interface.fifo_count\[4\],26.18µm
_05131_,26.16µm
_05863_,26.08µm
_02261_,26.02µm
_04122_,26.02µm
_03723_,26µm
_03703_,25.98µm
net1594,25.98µm
_03304_,25.96µm
_01265_,25.94µm
_03031_,25.88µm
_01895_,25.86µm
_04814_,25.86µm
u_interface.fifo_data\[12\]\[24\],25.86µm
_01726_,25.845µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[3\],25.845µm
_05878_,25.84µm
u_interface.fifo_data\[1\]\[28\],25.82µm
_03160_,25.8µm
net1394,25.78µm
net1738,25.76µm
_04015_,25.72µm
_04153_,25.72µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[10\],25.72µm
net1748,25.71µm
_03259_,25.66µm
_03395_,25.65µm
_04263_,25.64µm
clknet_leaf_28_clk,25.64µm
_05163_,25.62µm
_03643_,25.61µm
_05938_,25.58µm
_01616_,25.56µm
_02908_,25.56µm
_01577_,25.54µm
_02854_,25.52µm
_03364_,25.5µm
_04017_,25.48µm
_06125_,25.48µm
_02857_,25.44µm
u_interface.core_data_out\[6\],25.44µm
_01392_,25.42µm
m_axis_tdata[9],25.41µm
_01877_,25.4µm
_01251_,25.38µm
_01874_,25.38µm
_05782_,25.38µm
_01615_,25.34µm
_02283_,25.34µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_frac\[14\],25.34µm
_01410_,25.32µm
_02048_,25.3µm
_03594_,25.3µm
_04378_,25.3µm
_05226_,25.28µm
_05872_,25.28µm
_02333_,25.26µm
_06335_,25.26µm
s_axis_tlast,25.26µm
_04173_,25.22µm
_02840_,25.16µm
_02849_,25.16µm
_05316_,25.14µm
_02721_,25.08µm
net192,25.07µm
_01763_,25.06µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[21\],25.06µm
_04688_,24.99µm
_04577_,24.965µm
_03458_,24.94µm
_05588_,24.94µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[25\],24.93µm
_05849_,24.92µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s1_mag\[10\],24.92µm
_05377_,24.9µm
u_interface.fifo_data\[8\]\[2\],24.9µm
_03108_,24.84µm
_01724_,24.82µm
_05777_,24.82µm
_03495_,24.78µm
_06026_,24.78µm
u_interface.fifo_data\[12\]\[5\],24.76µm
net116,24.76µm
u_interface.fifo_data\[9\]\[17\],24.74µm
_06072_,24.72µm
net1584,24.72µm
_02546_,24.68µm
_05237_,24.68µm
_05816_,24.675µm
_01259_,24.64µm
_01476_,24.64µm
_02192_,24.64µm
_02706_,24.64µm
_02804_,24.64µm
_03739_,24.6µm
u_interface.fifo_data\[4\]\[22\],24.54µm
_05655_,24.48µm
u_interface.fifo_data\[3\]\[16\],24.48µm
u_interface.u_gelu_fp32.u_synth_top.s3_b\[14\],24.48µm
_01728_,24.46µm
clknet_leaf_24_clk,24.44µm
_03832_,24.425µm
_02238_,24.42µm
_03097_,24.42µm
_01399_,24.4µm
u_interface.u_gelu_fp32.s2_data\[1\],24.4µm
_03230_,24.38µm
_02046_,24.34µm
_03999_,24.34µm
_04517_,24.34µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[1\],24.34µm
_03956_,24.3µm
u_interface.u_gelu_fp32.u_synth_top.s2_dx\[3\],24.26µm
_02025_,24.22µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_exp\[1\],24.22µm
_02735_,24.18µm
_03033_,24.18µm
u_interface.u_gelu_fp32.s1_data\[21\],24.18µm
_04341_,24.16µm
_01147_,24.14µm
_01136_,24.12µm
_04107_,24.1µm
_01686_,24.06µm
_06284_,24.06µm
net903,24.045µm
_03213_,24.02µm
_04891_,24.02µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[6\],24.02µm
_02756_,24µm
_05260_,23.99µm
_01142_,23.98µm
_04926_,23.98µm
_03805_,23.97µm
_02826_,23.96µm
_02861_,23.94µm
_04501_,23.92µm
_01180_,23.9µm
_00951_,23.885µm
u_interface.u_gelu_fp32.s2_data\[0\],23.86µm
_06138_,23.855µm
net129,23.84µm
_01978_,23.76µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[23\],23.76µm
_05092_,23.74µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_sign,23.74µm
_02498_,23.675µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[17\],23.665µm
_02697_,23.66µm
_03595_,23.64µm
clknet_leaf_8_clk,23.6µm
_03505_,23.58µm
_05375_,23.58µm
_05192_,23.54µm
_05826_,23.53µm
_04686_,23.52µm
u_interface.fifo_data\[4\]\[16\],23.5µm
_03619_,23.46µm
_03824_,23.46µm
_04528_,23.46µm
u_interface.fifo_data\[6\]\[10\],23.445µm
_03903_,23.42µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_frac\[17\],23.38µm
net1357,23.38µm
_01527_,23.36µm
u_interface.fifo_data\[3\]\[5\],23.36µm
_01993_,23.35µm
u_interface.u_gelu_fp32.s2_data\[7\],23.35µm
_03393_,23.34µm
u_interface.fifo_tlast\[12\],23.32µm
_01695_,23.3µm
_04088_,23.3µm
_01321_,23.28µm
_01139_,23.26µm
_04339_,23.26µm
_04934_,23.26µm
_01364_,23.24µm
_04099_,23.24µm
_03823_,23.22µm
u_interface.fifo_data\[15\]\[7\],23.22µm
_02219_,23.2µm
_05103_,23.2µm
_05454_,23.2µm
_03224_,23.18µm
_02009_,23.16µm
_05883_,23.16µm
_04997_,23.14µm
u_interface.u_gelu_fp32.u_synth_top.s1_x\[22\],23.14µm
u_interface.fifo_data\[3\]\[11\],23.12µm
_01927_,23.1µm
_03195_,23.1µm
_05385_,23.08µm
_05867_,23.06µm
s_axis_tuser,23.06µm
u_interface.core_data_out\[31\],23.04µm
_03410_,23.02µm
_05075_,23.02µm
_04343_,23µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s2_mag\[7\],22.965µm
_02047_,22.96µm
_02902_,22.96µm
u_interface.fifo_data\[12\]\[4\],22.94µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s1_mant\[3\],22.92µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[0\],22.92µm
_01382_,22.88µm
_01547_,22.88µm
_04889_,22.86µm
_05401_,22.84µm
_06067_,22.825µm
_01335_,22.82µm
_03687_,22.8µm
clknet_leaf_89_clk,22.8µm
_01233_,22.78µm
_03281_,22.78µm
u_interface.u_gelu_fp32.u_q16_to_fp32.s3_exp\[4\],22.78µm
_01329_,22.74µm
_02863_,22.74µm
_05406_,22.74µm
_05453_,22.74µm
_03816_,22.73µm
_01775_,22.72µm
_03728_,22.7µm
_06223_,22.7µm
_02911_,22.68µm
_03389_,22.68µm
_04255_,22.68µm
u_interface.u_gelu_fp32.u_fp32_to_q16.s3_mag\[15\],22.68µm
_03469_,22.675µm
u_interface.fifo_data\[10\]\[31\],22.65µm
u_interface.fifo_data\[7\]\[17\],22.64µm
_03006_,22.62µm
_05778_,22.62µm
_03002_,22.6µm
_06221_,22.6µm
_06307_,22.6µm
_01120_,22.58µm
_01879_,22.58µm
_02596_,22.58µm
_04330_,22.58µm
_01561_,22.56µm
_01524_,22.52µm
_01409_,22.5µm
_01898_,22.5µm
s_axis_tvalid,22.5µm
u_interface.fifo_data\[5\]\[26\],22.5µm
u_interface.fifo_data\[10\]\[8\],22.485µm
